,step,AverageReturn
0,10000,-18154.0
1,10104,-5807.89990234375
2,10208,-14995.2001953125
3,10312,-5966.7001953125
4,10416,-15580.0
5,10520,-8126.89990234375
6,10624,-11518.900390625
7,10728,-16931.5
8,10832,-7922.0
9,10936,-14060.2001953125
10,11040,-18060.30078125
11,11144,-12632.599609375
12,11248,-21683.599609375
13,11352,-14861.0
14,11456,-9792.7998046875
15,11560,-11483.7998046875
16,11664,-11981.2001953125
17,11768,-7692.7998046875
18,11872,-6465.2001953125
19,11976,-15432.400390625
20,12080,-7396.2998046875
21,12184,-11929.2998046875
22,12288,-5952.2998046875
23,12392,-12757.7998046875
24,12496,-13555.900390625
25,12600,-12358.2998046875
26,12704,-7848.2001953125
27,12808,-14440.0
28,12912,-11404.5
29,13016,-16280.099609375
30,13120,-9418.099609375
31,13224,-18389.19921875
32,13328,-12276.7001953125
33,13432,-9487.7998046875
34,13536,-13033.599609375
35,13640,-14474.599609375
36,13744,-4315.0
37,13848,-7856.0
38,13952,-15330.0
39,14056,-4357.0
40,14160,-5339.10009765625
41,14264,-14434.400390625
42,14368,-11595.400390625
43,14472,-10089.0
44,14576,-6682.7998046875
45,14680,-10218.7998046875
46,14784,-5821.7998046875
47,14888,-5962.60009765625
48,14992,-6532.39990234375
49,15096,-7370.7998046875
50,15200,-9346.2998046875
51,15304,-2797.60009765625
52,15408,-926.5999755859375
53,15512,-5856.2998046875
54,15616,-8915.900390625
55,15720,-6799.7998046875
56,15824,-9013.0
57,15928,-11214.2998046875
58,16032,-1722.199951171875
59,16136,-4940.2998046875
60,16240,-9947.7001953125
61,16344,-12756.2998046875
62,16448,-8701.099609375
63,16552,-7943.2998046875
64,16656,-7703.7001953125
65,16760,-13941.099609375
66,16864,-7909.89990234375
67,16968,-14913.599609375
68,17072,-14095.5
69,17176,-8183.39990234375
70,17280,-9544.7998046875
71,17384,-6151.2001953125
72,17488,-11012.2998046875
73,17592,-6660.5
74,17696,-4992.39990234375
75,17800,-8256.2001953125
76,17904,-10949.2998046875
77,18008,-6462.7001953125
78,18112,-15468.900390625
79,18216,-7880.89990234375
80,18320,-9425.400390625
81,18424,-7471.60009765625
82,18528,-12152.5
83,18632,-8195.7998046875
84,18736,-9715.400390625
85,18840,-7317.39990234375
86,18944,-8087.89990234375
87,19048,-11825.099609375
88,19152,-7330.2998046875
89,19256,-3512.60009765625
90,19360,-9575.400390625
91,19464,-7193.5
92,19568,-9819.900390625
93,19672,-7456.39990234375
94,19776,-8537.5
95,19880,-6948.60009765625
96,19984,-8789.7998046875
97,20088,-7841.0
98,20192,-8177.0
99,20296,-7778.10009765625
100,20400,-4438.60009765625
101,20504,-10567.2001953125
102,20608,-14655.2001953125
103,20712,-9152.2001953125
104,20816,-5842.89990234375
105,20920,-6656.5
106,21024,-8976.2001953125
107,21128,-8525.400390625
108,21232,-6809.2998046875
109,21336,-7626.89990234375
110,21440,-8863.099609375
111,21544,-6883.5
112,21648,-6948.2998046875
113,21752,-9186.099609375
114,21856,-8281.400390625
115,21960,-10459.0
116,22064,-3430.0
117,22168,-3962.300048828125
118,22272,-6565.7001953125
119,22376,-2632.60009765625
120,22480,-5224.2998046875
121,22584,-7667.10009765625
122,22688,-3481.0
123,22792,-3653.300048828125
124,22896,-3871.39990234375
125,23000,-3640.5
126,23104,-9654.0
127,23208,-12027.7998046875
128,23312,-6085.39990234375
129,23416,-15705.400390625
130,23520,-8039.10009765625
131,23624,-8078.60009765625
132,23728,-7824.2001953125
133,23832,-9684.7998046875
134,23936,-11233.2001953125
135,24040,-5098.5
136,24144,-9954.599609375
137,24248,-5897.2998046875
138,24352,-6702.39990234375
139,24456,-8245.7001953125
140,24560,-5453.7001953125
141,24664,-10310.0
142,24768,-3629.5
143,24872,-7928.7998046875
144,24976,-10137.7001953125
145,25080,-3972.5
146,25184,-8389.0
147,25288,-6077.0
148,25392,-5539.7001953125
149,25496,-9485.099609375
150,25600,-2725.89990234375
151,25704,-8336.7998046875
152,25808,-6754.39990234375
153,25912,-7654.39990234375
154,26016,-5109.0
155,26120,-5486.10009765625
156,26224,-6902.60009765625
157,26328,-797.7999877929688
158,26432,-15259.2998046875
159,26536,-12757.099609375
160,26640,-8079.89990234375
161,26744,-7662.60009765625
162,26848,-12496.900390625
163,26952,-13599.2998046875
164,27056,-8202.0
165,27160,-8837.599609375
166,27264,-22528.099609375
167,27368,-6373.89990234375
168,27472,-16157.7998046875
169,27576,-12800.599609375
170,27680,-15637.0
171,27784,-17607.400390625
172,27888,-8219.2001953125
173,27992,-7156.7001953125
174,28096,-13835.7998046875
175,28200,-19280.69921875
176,28304,-13423.5
177,28408,-22241.30078125
178,28512,-3257.800048828125
179,28616,-10835.099609375
180,28720,-8005.0
181,28824,-12552.0
182,28928,-10312.5
183,29032,-15960.2998046875
184,29136,-9034.7998046875
185,29240,-12319.0
186,29344,-4632.0
187,29448,-10071.2998046875
188,29552,-20298.80078125
189,29656,-15944.0
190,29760,-21481.80078125
191,29864,-12876.900390625
192,29968,-8913.400390625
193,30072,-22280.0
194,30176,-12070.2001953125
195,30280,-10152.400390625
196,30384,-8715.7998046875
197,30488,-4301.39990234375
198,30592,-25255.80078125
199,30696,-11879.900390625
200,30800,-11465.7001953125
201,30904,-19304.099609375
202,31008,-16882.5
203,31112,-15621.599609375
204,31216,-5887.89990234375
205,31320,-14425.7001953125
206,31424,-22946.30078125
207,31528,-14203.900390625
208,31632,-12911.2998046875
209,31736,-17622.19921875
210,31840,-13913.400390625
211,31944,-23121.599609375
212,32048,-16077.599609375
213,32152,-12763.2998046875
214,32256,-14823.599609375
215,32360,-12038.599609375
216,32464,-10002.7001953125
217,32568,-24174.80078125
218,32672,-14107.400390625
219,32776,-12720.7001953125
220,32880,-15659.2001953125
221,32984,-11275.2001953125
222,33088,-22051.900390625
223,33192,-12137.900390625
224,33296,-15362.2998046875
225,33400,-11810.400390625
226,33504,-12965.2998046875
227,33608,-18732.0
228,33712,-6102.7001953125
229,33816,-26690.19921875
230,33920,-25966.900390625
231,34024,-20882.30078125
232,34128,-7057.10009765625
233,34232,-11791.2998046875
234,34336,-10584.7001953125
235,34440,-11336.0
236,34544,-7674.7998046875
237,34648,-19144.80078125
238,34752,-11206.5
239,34856,-18916.30078125
240,34960,-6666.39990234375
241,35064,-17824.599609375
242,35168,-17574.400390625
243,35272,-11823.400390625
244,35376,-11340.599609375
245,35480,-9126.0
246,35584,-13433.900390625
247,35688,-21381.30078125
248,35792,-17890.599609375
249,35896,-6672.0
250,36000,-6989.2998046875
251,36104,-23419.900390625
252,36208,-11841.900390625
253,36312,-15936.7998046875
254,36416,-21081.80078125
255,36520,-14408.400390625
256,36624,-18442.19921875
257,36728,-13385.0
258,36832,-13073.2001953125
259,36936,-24783.599609375
260,37040,-9139.7998046875
261,37144,-22960.400390625
262,37248,-16016.7001953125
263,37352,-22152.80078125
264,37456,-14240.599609375
265,37560,-16157.599609375
266,37664,-18095.19921875
267,37768,-19684.19921875
268,37872,-21368.599609375
269,37976,-16842.400390625
270,38080,-15555.0
271,38184,-23960.400390625
272,38288,-16469.400390625
273,38392,-14018.0
274,38496,-9112.7998046875
275,38600,-9017.2001953125
276,38704,-17977.400390625
277,38808,-16814.400390625
278,38912,-23755.099609375
279,39016,-13213.2001953125
280,39120,-17205.400390625
281,39224,-21513.19921875
282,39328,-15925.2998046875
283,39432,-24380.0
284,39536,-22157.80078125
285,39640,-17736.0
286,39744,-14350.7998046875
287,39848,-10834.400390625
288,39952,-11842.099609375
289,40056,-11244.7001953125
290,40160,-15075.599609375
291,40264,-23088.400390625
292,40368,-18538.5
