,step,TrainAverageReturn,EvalAverageReturn,Alpha
0,10000,-16962.6953125,-18508.5,0.9997000694274902
1,10104,-15570.4677734375,-19225.599609375,0.9993999004364014
2,10208,-16080.3828125,-19438.80078125,0.9990991353988647
3,10312,-16067.5517578125,-10028.599609375,0.9987974762916565
4,10416,-16284.9697265625,-24018.599609375,0.9984951615333557
5,10520,-16088.73828125,-18138.30078125,0.9981915950775146
6,10624,-16332.3154296875,-14151.7001953125,0.9978865385055542
7,10728,-16299.3310546875,-17416.900390625,0.9975800514221191
8,10832,-16204.380859375,-18222.0,0.9972721338272095
9,10936,-16117.814453125,-23021.099609375,0.9969627857208252
10,11040,-16145.548828125,-10415.0,0.9966520071029663
11,11144,-16046.111328125,-5842.7998046875,0.9963399171829224
12,11248,-15909.2041015625,-7667.60009765625,0.9960267543792725
13,11352,-15762.0185546875,-12456.400390625,0.9957122802734375
14,11456,-15825.248046875,-16436.400390625,0.995396614074707
15,11560,-15563.859375,-6892.2001953125,0.9950799345970154
16,11664,-15294.9248046875,-15732.400390625,0.9947623014450073
17,11768,-15156.943359375,-19397.5,0.9944438338279724
18,11872,-15070.86328125,-6307.7001953125,0.9941245913505554
19,11976,-14987.6376953125,-14010.5,0.9938047528266907
20,12080,-14909.1708984375,-5293.2998046875,0.993484616279602
21,12184,-14834.0732421875,-11417.099609375,0.9931641221046448
22,12288,-14865.5888671875,-6664.89990234375,0.9928433299064636
23,12392,-14793.4716796875,-7761.10009765625,0.9925223588943481
24,12496,-14659.455078125,-11326.0,0.9922013878822327
25,12600,-14543.1435546875,-7716.7001953125,0.9918805956840515
26,12704,-14501.166015625,-6141.10009765625,0.9915599226951599
27,12808,-14384.177734375,-20491.30078125,0.9912392497062683
28,12912,-14257.06640625,-12593.400390625,0.9909188151359558
29,13016,-14165.90625,-13077.7001953125,0.9905986785888672
30,13120,-13996.125,-6990.39990234375,0.9902786612510681
31,13224,-13848.80859375,-12113.0,0.9899590611457825
32,13328,-13666.55859375,-9869.7998046875,0.9896397590637207
33,13432,-13625.7353515625,-9401.2998046875,0.9893209338188171
