,step,TrainAverageReturn,EvalAverageReturn,Alpha
0,10000,-13573.0947265625,-11283.400390625,0.997004508972168
1,10104,-11451.1630859375,-7660.0,0.9941227436065674
2,10208,-10124.4453125,-6635.0,0.9923089742660522
3,10312,-9080.6416015625,-3472.60009765625,0.9926661252975464
4,10416,-8534.6171875,-7308.7001953125,0.9942061305046082
5,10520,-8037.177734375,-5274.7001953125,0.9962518215179443
6,10624,-7826.2001953125,-5732.0,0.9985836148262024
7,10728,-7619.13916015625,-6638.0,1.0011221170425415
8,10832,-7455.947265625,-8452.400390625,1.0038174390792847
9,10936,-7295.02294921875,-10210.7998046875,1.0066332817077637
10,11040,-7195.88720703125,-3586.0,1.0095399618148804
11,11144,-7077.12548828125,-3622.0,1.012516736984253
12,11248,-6977.46142578125,-3779.800048828125,1.0155569314956665
13,11352,-6904.06982421875,-6169.0,1.0186489820480347
14,11456,-6911.72607421875,-6994.5,1.0217838287353516
15,11560,-6802.39599609375,-2923.39990234375,1.0249476432800293
16,11664,-6709.13330078125,-7504.0,1.028143286705017
17,11768,-6649.80712890625,-7564.0,1.031355857849121
18,11872,-6631.19482421875,-4000.0,1.0345852375030518
19,11976,-6568.6142578125,-7304.10009765625,1.0378319025039673
20,12080,-6546.92041015625,-2542.300048828125,1.0410988330841064
21,12184,-6526.57861328125,-5210.2998046875,1.044379472732544
22,12288,-6555.2197265625,-3305.5,1.0476713180541992
23,12392,-6522.82177734375,-2306.699951171875,1.0509672164916992
24,12496,-6438.255859375,-3052.39990234375,1.0542570352554321
25,12600,-6320.8447265625,-2577.10009765625,1.0575393438339233
26,12704,-6225.9755859375,-841.7000122070312,1.0608233213424683
27,12808,-6095.35009765625,-6304.0,1.0641183853149414
28,12912,-5982.291015625,-4144.0,1.0674418210983276
29,13016,-5889.7353515625,-4006.0,1.070799469947815
30,13120,-5539.4482421875,-1396.0,1.0741956233978271
31,13224,-5305.60888671875,-3184.0,1.0776327848434448
32,13328,-5160.66357421875,-4161.0,1.0811086893081665
33,13432,-5115.27099609375,-1701.0,1.0846179723739624
34,13536,-4993.5,-5167.0,1.0881493091583252
35,13640,-4907.13134765625,-3318.5,1.0916961431503296
36,13744,-4756.7294921875,-1812.0,1.095255732536316
37,13848,-4635.38037109375,-5230.0,1.098820686340332
38,13952,-4548.45703125,-5892.39990234375,1.1023690700531006
39,14056,-4458.28515625,-2113.0,1.1059013605117798
40,14160,-4359.06591796875,-3743.5,1.109413743019104
41,14264,-4270.611328125,-4239.39990234375,1.1128968000411987
42,14368,-4206.82763671875,-2264.199951171875,1.1163544654846191
43,14472,-4094.8349609375,-2014.699951171875,1.1197911500930786
44,14576,-3965.066650390625,-1036.5,1.1232099533081055
45,14680,-3902.9189453125,-4270.10009765625,1.1266095638275146
46,14784,-3837.1796875,-2383.10009765625,1.1299875974655151
47,14888,-3734.810546875,-4885.2001953125,1.1333450078964233
48,14992,-3649.5625,-3376.5,1.1366751194000244
49,15096,-3562.595458984375,-3916.10009765625,1.139981985092163
50,15200,-3483.97314453125,-3787.699951171875,1.1432695388793945
51,15304,-3402.57080078125,-1927.9000244140625,1.1465380191802979
52,15408,-3258.10888671875,-4092.800048828125,1.1497893333435059
53,15512,-3182.73681640625,-6706.7998046875,1.1530243158340454
54,15616,-3139.394775390625,-3944.800048828125,1.156238079071045
55,15720,-3151.58203125,-1922.199951171875,1.159427285194397
56,15824,-3113.28076171875,-2808.10009765625,1.16259765625
57,15928,-3097.945556640625,-690.4000244140625,1.1657475233078003
58,16032,-3106.28466796875,-4188.0,1.168875813484192
59,16136,-3119.477783203125,-6063.0,1.1719859838485718
60,16240,-3106.030517578125,-709.7000122070312,1.1750699281692505
61,16344,-3148.734619140625,-3381.300048828125,1.1781256198883057
62,16448,-3135.585205078125,-1055.300048828125,1.1811574697494507
63,16552,-3068.955078125,-5604.7001953125,1.184178352355957
64,16656,-3078.625244140625,-2318.89990234375,1.187193751335144
65,16760,-3035.44140625,-4237.0,1.190205693244934
66,16864,-3080.78857421875,-4173.10009765625,1.1932076215744019
67,16968,-3115.912109375,-3131.39990234375,1.1961863040924072
68,17072,-3104.844970703125,-3014.10009765625,1.1991294622421265
69,17176,-3099.480224609375,-3573.10009765625,1.2020493745803833
70,17280,-3109.366455078125,-1809.0999755859375,1.204953908920288
71,17384,-3125.369873046875,-4376.2998046875,1.2078531980514526
72,17488,-3090.25439453125,-652.7000122070312,1.210753083229065
73,17592,-3099.823486328125,-592.2999877929688,1.213659405708313
74,17696,-3080.88232421875,-2839.300048828125,1.2165799140930176
75,17800,-3061.147705078125,-6080.10009765625,1.2195208072662354
76,17904,-3070.241943359375,-3392.10009765625,1.2224771976470947
77,18008,-3094.5068359375,-2273.300048828125,1.2254445552825928
78,18112,-3052.7080078125,-2140.0,1.228413462638855
79,18216,-3054.51708984375,-1117.4000244140625,1.2313848733901978
80,18320,-3038.45458984375,-1576.5999755859375,1.23435640335083
81,18424,-3016.51708984375,-3896.10009765625,1.237326979637146
82,18528,-3016.1279296875,-1782.5,1.2402980327606201
83,18632,-3011.8125,-1897.9000244140625,1.24326753616333
84,18736,-3009.622314453125,-7542.7998046875,1.2462337017059326
85,18840,-2978.751708984375,-4297.2998046875,1.2491936683654785
86,18944,-2993.7578125,-2770.199951171875,1.2521463632583618
87,19048,-3008.487548828125,-4615.39990234375,1.255094289779663
88,19152,-3015.33056640625,-4612.10009765625,1.2580459117889404
89,19256,-2990.3291015625,-3323.89990234375,1.2610095739364624
90,19360,-3002.1064453125,-2216.5,1.263994574546814
91,19464,-2993.511474609375,-766.5999755859375,1.267012357711792
92,19568,-3002.846435546875,-4026.89990234375,1.2700536251068115
93,19672,-3005.877685546875,-4329.2998046875,1.273124098777771
94,19776,-3005.020263671875,-5045.7001953125,1.2762162685394287
95,19880,-3086.70703125,-1443.5,1.2793266773223877
96,19984,-3066.131103515625,-3870.699951171875,1.2824444770812988
97,20088,-3047.269775390625,-4898.10009765625,1.2855808734893799
98,20192,-3007.004150390625,-1522.699951171875,1.2887274026870728
99,20296,-3014.861328125,-2448.39990234375,1.2918920516967773
100,20400,-3014.3095703125,-4327.10009765625,1.2950634956359863
101,20504,-3023.849365234375,-1640.0,1.298240303993225
102,20608,-3031.861328125,-3178.300048828125,1.3014062643051147
103,20712,-3031.105224609375,-1778.0999755859375,1.3045629262924194
104,20816,-3054.731689453125,-4705.5,1.3077216148376465
105,20920,-3069.283447265625,-4878.0,1.3108713626861572
106,21024,-3049.5888671875,-1042.699951171875,1.3140119314193726
107,21128,-3033.969970703125,-2445.60009765625,1.3171576261520386
108,21232,-3045.07568359375,-1814.9000244140625,1.3203251361846924
109,21336,-3046.87060546875,-1589.4000244140625,1.3235182762145996
110,21440,-3043.012451171875,-2759.800048828125,1.3267326354980469
111,21544,-3054.87158203125,-4168.2998046875,1.3299596309661865
112,21648,-3043.718017578125,-746.5,1.3331995010375977
113,21752,-3023.237060546875,-1645.800048828125,1.3364540338516235
114,21856,-3024.612060546875,-4429.5,1.3397173881530762
115,21960,-3043.975341796875,-2708.39990234375,1.3430029153823853
116,22064,-3050.3759765625,-565.9000244140625,1.3463220596313477
117,22168,-3061.34521484375,-4291.39990234375,1.3496860265731812
118,22272,-3061.8291015625,-1407.5,1.3530962467193604
119,22376,-3073.724365234375,-7413.0,1.3565407991409302
120,22480,-3090.954833984375,-2482.0,1.3600181341171265
121,22584,-3057.1923828125,-2616.39990234375,1.363520622253418
122,22688,-3075.223388671875,-4013.39990234375,1.3670471906661987
123,22792,-3086.708740234375,-3561.39990234375,1.3706133365631104
124,22896,-3098.301025390625,-4153.7001953125,1.3742363452911377
125,23000,-3069.895263671875,-6523.5,1.3779040575027466
126,23104,-3083.599365234375,-2221.800048828125,1.3816006183624268
127,23208,-3091.3994140625,-1809.300048828125,1.3853095769882202
128,23312,-3138.075927734375,-1355.9000244140625,1.3890241384506226
