,step,AverageReturn
0,100,-14850.5595703125
1,200,-12049.3095703125
2,300,-12748.41015625
3,400,-13962.48046875
4,500,-10611.150390625
5,600,-6463.06982421875
6,700,-6651.490234375
7,800,-6306.31982421875
8,900,-5586.02978515625
9,1000,-4343.9501953125
10,1100,-2893.320068359375
11,1200,-3984.719970703125
12,1300,-3234.159912109375
13,1400,-3365.169921875
14,1500,-1900.0
15,1600,-1999.72998046875
16,1700,-1651.5699462890625
17,1800,-1686.219970703125
18,1900,-1776.4100341796875
19,2000,-1787.8699951171875
20,2100,-1199.8199462890625
21,2200,-1655.18994140625
22,2300,-1227.9000244140625
23,2400,-1284.9000244140625
24,2500,-1445.6600341796875
25,2600,-1103.969970703125
26,2700,-1476.47998046875
27,2800,-1393.3399658203125
28,2900,-1380.0999755859375
29,3000,-1115.1600341796875
30,3100,-981.2899780273438
31,3200,-983.719970703125
32,3300,-1209.5
33,3400,-1192.760009765625
34,3500,-1392.1600341796875
35,3600,-1182.0699462890625
36,3700,-1314.5
37,3800,-1213.31005859375
38,3900,-1154.969970703125
39,4000,-1302.5799560546875
40,4100,-1185.8199462890625
41,4200,-1128.75
42,4300,-1289.47998046875
43,4400,-1122.199951171875
44,4500,-1213.1199951171875
45,4600,-1221.530029296875
46,4700,-1157.989990234375
47,4800,-1033.5699462890625
48,4900,-1097.219970703125
49,5000,-1043.25
50,5100,-1023.5399780273438
51,5200,-1069.8800048828125
52,5300,-1089.469970703125
53,5400,-963.97998046875
54,5500,-1143.260009765625
55,5600,-1181.06005859375
56,5700,-1138.050048828125
57,5800,-1025.3499755859375
58,5900,-1043.219970703125
59,6000,-1041.219970703125
60,6100,-1145.949951171875
61,6200,-1164.5699462890625
62,6300,-1029.219970703125
63,6400,-1005.5700073242188
64,6500,-995.4000244140625
65,6600,-1126.699951171875
66,6700,-1059.6800537109375
67,6800,-1177.3699951171875
68,6900,-1199.4100341796875
69,7000,-1222.5799560546875
70,7100,-1112.6700439453125
71,7200,-992.1900024414062
72,7300,-1199.6199951171875
73,7400,-1124.97998046875
74,7500,-1038.699951171875
75,7600,-1059.8499755859375
76,7700,-1165.0
77,7800,-1053.97998046875
78,7900,-1057.3399658203125
79,8000,-1198.6600341796875
80,8100,-1153.5400390625
81,8200,-1317.18994140625
82,8300,-1077.97998046875
83,8400,-1131.0999755859375
84,8500,-998.75
85,8600,-952.4600219726562
86,8700,-1129.6400146484375
87,8800,-1227.989990234375
88,8900,-1139.3499755859375
89,9000,-1314.8399658203125
90,9100,-1208.1400146484375
91,9200,-1033.9300537109375
92,9300,-1141.81005859375
93,9400,-1104.300048828125
94,9500,-1086.9200439453125
95,9600,-1270.9599609375
96,9700,-1212.6700439453125
97,9800,-1094.1099853515625
98,9900,-1133.1700439453125
99,10000,-982.52001953125
100,10100,-1075.1600341796875
101,10200,-1039.5400390625
102,10300,-1008.5800170898438
103,10400,-1004.1300048828125
104,10500,-961.5800170898438
105,10600,-1121.0
106,10700,-1316.5799560546875
107,10800,-1049.97998046875
108,10900,-1060.8199462890625
109,11000,-1145.1199951171875
110,11100,-1002.6300048828125
111,11200,-1234.7900390625
112,11300,-1067.949951171875
113,11400,-1004.0999755859375
114,11500,-1005.739990234375
115,11600,-1136.97998046875
116,11700,-1263.3599853515625
117,11800,-1049.0400390625
118,11900,-1036.3499755859375
119,12000,-980.2100219726562
120,12100,-1043.550048828125
121,12200,-1128.52001953125
122,12300,-1092.0699462890625
123,12400,-975.8200073242188
124,12500,-1048.510009765625
125,12600,-1105.530029296875
126,12700,-1233.6800537109375
127,12800,-1126.9000244140625
128,12900,-1304.6500244140625
129,13000,-1118.010009765625
130,13100,-985.0599975585938
131,13200,-1002.3400268554688
132,13300,-1147.969970703125
133,13400,-1179.3800048828125
