,step,AverageReturn
0,12480,-4141.10009765625
1,14560,-9699.400390625
2,16640,-17835.599609375
3,18720,-14428.0
4,20800,-14358.0
5,22880,-8891.0
6,24960,-10350.0
7,27040,-11767.0
8,29120,-15885.0
9,31200,-8462.0
10,33280,-8037.0
11,35360,-12068.0
12,37440,-10546.0
13,39520,-12718.0
14,41600,-9591.0
15,43680,-8923.0
16,45760,-12352.0
17,47840,-15150.0
18,49920,-15766.0
19,52000,-11166.0
20,54080,-9891.0
21,56160,-11867.599609375
22,58240,-9325.599609375
23,60320,-8303.7998046875
24,62400,-15660.7998046875
25,64480,-11988.599609375
26,66560,-4535.2001953125
27,68640,-11714.599609375
28,70720,-13662.7998046875
29,72800,-5628.39990234375
30,74880,-7988.0
31,76960,-5697.7998046875
32,79040,-10174.400390625
33,81120,-11293.400390625
34,83200,-6321.60009765625
35,85280,-17818.80078125
36,87360,-7051.60009765625
37,89440,-8243.7998046875
38,91520,-9668.599609375
39,93600,-9838.7998046875
40,95680,-9991.2001953125
41,97760,-5829.7998046875
42,99840,-19458.80078125
43,101920,-9870.7998046875
44,104000,-12760.2001953125
45,106080,-6547.0
46,108160,-13510.0
47,110240,-8756.2001953125
48,112320,-4413.0
49,114400,-11226.0
50,116480,-9902.2001953125
51,118560,-7598.39990234375
52,120640,-2168.199951171875
53,122720,-7134.89990234375
54,124800,-6171.7001953125
55,126880,-8476.400390625
56,128960,-4540.60009765625
57,131040,-5460.60009765625
58,133120,-3487.60009765625
59,135200,-2949.800048828125
60,137280,-5287.10009765625
61,139360,-4296.2001953125
62,141440,-1915.9000244140625
63,143520,-2981.300048828125
64,145600,-3145.5
65,147680,-2642.300048828125
66,149760,-4640.60009765625
67,151840,-3017.199951171875
68,153920,-3400.800048828125
69,156000,-2784.60009765625
70,158080,-3148.699951171875
71,160160,-3504.0
72,162240,-4040.699951171875
73,164320,-4947.10009765625
74,166400,-1801.300048828125
75,168480,-863.9000244140625
76,170560,-1525.5
77,172640,-3565.39990234375
78,174720,-4707.0
79,176800,-2009.4000244140625
80,178880,-3064.800048828125
81,180960,-5621.89990234375
82,183040,-3871.199951171875
83,185120,-1696.300048828125
84,187200,-5821.89990234375
85,189280,-2880.800048828125
86,191360,-4787.39990234375
87,193440,-3522.10009765625
88,195520,-692.7999877929688
89,197600,-3891.5
90,199680,-3011.5
91,201760,-4381.7001953125
92,203840,-3055.5
93,205920,-2432.300048828125
94,208000,-4235.2998046875
95,210080,-5599.10009765625
96,212160,-1063.699951171875
97,214240,-2886.199951171875
98,216320,-4430.2001953125
