,step,AverageReturn
0,100,-18896.830078125
1,200,-12315.48046875
2,300,-13651.240234375
3,400,-17356.48046875
4,500,-13413.3798828125
5,600,-14296.169921875
6,700,-13041.58984375
7,800,-14099.2197265625
8,900,-11736.51953125
9,1000,-10122.6201171875
10,1100,-11953.400390625
11,1200,-8808.6201171875
12,1300,-10688.8798828125
13,1400,-8036.47021484375
14,1500,-7546.240234375
15,1600,-7654.0
16,1700,-8035.1201171875
17,1800,-7112.02001953125
18,1900,-6184.31982421875
19,2000,-6074.02001953125
20,2100,-6020.4599609375
21,2200,-5500.3798828125
22,2300,-5099.02001953125
23,2400,-6111.64990234375
24,2500,-5198.68017578125
25,2600,-5234.759765625
26,2700,-5584.22998046875
27,2800,-4951.85009765625
28,2900,-4526.990234375
29,3000,-4385.97998046875
30,3100,-4503.7998046875
31,3200,-4918.009765625
32,3300,-4266.22021484375
33,3400,-4547.52978515625
34,3500,-4045.760009765625
35,3600,-3876.110107421875
36,3700,-3440.409912109375
37,3800,-3273.89990234375
38,3900,-2914.449951171875
39,4000,-4094.320068359375
40,4100,-3301.780029296875
41,4200,-3702.610107421875
42,4300,-2918.110107421875
43,4400,-2109.139892578125
44,4500,-3926.610107421875
45,4600,-2372.389892578125
46,4700,-3097.889892578125
47,4800,-2684.760009765625
48,4900,-2767.9599609375
49,5000,-2681.43994140625
50,5100,-2921.800048828125
51,5200,-2372.659912109375
52,5300,-2007.6500244140625
53,5400,-1676.6199951171875
54,5500,-2136.18994140625
55,5600,-2645.909912109375
56,5700,-2113.860107421875
57,5800,-2247.360107421875
58,5900,-2206.300048828125
59,6000,-1709.050048828125
60,6100,-1952.300048828125
61,6200,-2253.5
62,6300,-2049.419921875
63,6400,-2592.800048828125
64,6500,-1963.8299560546875
65,6600,-2501.27001953125
66,6700,-1914.81005859375
67,6800,-1884.8299560546875
68,6900,-1962.1199951171875
69,7000,-2104.909912109375
70,7100,-1585.9300537109375
71,7200,-1957.1600341796875
72,7300,-1495.22998046875
73,7400,-1800.5400390625
74,7500,-1674.989990234375
75,7600,-1719.1400146484375
76,7700,-1285.469970703125
77,7800,-2102.3798828125
78,7900,-1485.4200439453125
79,8000,-1852.1800537109375
80,8100,-1664.0699462890625
81,8200,-1492.949951171875
82,8300,-1887.8599853515625
83,8400,-1675.4200439453125
